endTime,artistName,trackName,msPlayed
1,Anson Seabra,Dawning of Spring,2282
1,Conan Gray,Crush Culture,3285
1,Karina Grace,tired of me,1066
1,The Killers,Mr. Brightside,4671
1,P!nk,True Love (feat. Lily Allen),4394
1,Adele,All I Ask,271800
1,Michael Ray,Get to You,1856
1,The Sonder Bombs,Twinkle Lights,31033
1,Kesha,Your Love Is My Drug,187133
1,One Direction,What Makes You Beautiful,199986
1,Mariah Carey,Obsessed,1322
1,Ariana Grande,"thank u, next",7466
1,Pitbull,"Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)",252306
1,City Girls,Act Up,2617
1,Travis Mills,She Got A...,207920
1,Jessie Reyez,FIGURES,5660
1,Rita Ora,Poison,202906
1,Post Malone,rockstar (feat. 21 Savage),218146
1,David Guetta,Sexy Chick (feat. Akon),194346
1,Adele,Set Fire to the Rain,1386
1,Bazzi,Myself,13868
1,Ingrid Andress,Lady Like,194786
1,Imagine Dragons,Enemy (with JID) - from the series Arcane League of Legends,173381
1,Flo Rida,Club Can't Handle Me (feat. David Guetta),234560
1,Imagine Dragons,Natural,80703
1,5 Seconds of Summer,Youngblood,203417
1,Cardi B,WAP (feat. Megan Thee Stallion),187541
1,Ariana Grande,imagine,6125
1,CORPSE,HOT DEMON B!TCHES NEAR U ! ! !,96000
1,Pitbull,Hotel Room Service,100223
1,Usher,I Don't Mind (feat. Juicy J),251989
1,Tyga,Rack City,203200
1,Britney Spears,If U Seek Amy,938
1,Saweetie,ICY GRL (feat. Kehlani) - Bae Mix,148117
1,Katy Perry,California Gurls,234653
1,Taylor Swift,tolerate it,6656
1,Drake,Find Your Love,83349
1,The Saturdays,Higher,207613
1,The Script,For the First Time,252853
1,Demi Lovato,Stone Cold,8384
1,Dean Lewis,Half A Man,2218
1,Lorde,Liability,171727
1,Alessia Cara,Out Of Love,227693
1,Taylor Swift,Mr. Perfectly Fine (Taylor’s Version) (From The Vault),1493
1,Delaney Bailey,For You,2751
1,The Pussycat Dolls,When I Grow Up,245680
1,Olivia Rodrigo,"The Rose Song - From ""High School Musical: The Musical: The Series (Season 2)""",1706
1,Taylor Acorn,Do That Again - Demo Version,2965
1,Passenger,Let Her Go,3029
1,Taylor Swift,Red (Taylor's Version),7637
1,Taylor Swift,All Too Well (Taylor's Version),11118
1,Taylor Swift,Mine,2261
1,Taylor Swift,I Bet You Think About Me (feat. Chris Stapleton) (Taylor’s Version) (From The Vault),285106
1,Ariana Grande,7 rings,178626
1,Post Malone,Candy Paint,227533
1,Olivia Rodrigo,enough for you,202826
1,Taylor Swift,this is me trying,195097
1,Madison Beer,Good In Goodbye,2688
1,Ingrid Andress,Life of the Party,7680
1,Eminem,Love The Way You Lie,17881
1,Lana Del Rey,Young And Beautiful,236053
1,Bea Miller,i can't breathe,213986
1,Taylor Swift,Death By A Thousand Cuts,1728
1,Scarlett Johansson,Set It All Free,1962
1,Taylor Swift,cardigan,239560
1,Taylor Swift,august,261920
1,Taylor Swift,hoax,220040
1,James Arthur,Train Wreck,12542
1,Falk Wünsch,Bravery,258246
1,Timbaland,If We Ever Meet Again (Featuring Katy Perry),292706
1,Rachel Platten,Lone Ranger,190026
1,Ruth B.,If By Chance,303653
1,Kesha,TiK ToK,199693
1,Bruno Mars,Just the Way You Are,3840
1,Eminem,Love The Way You Lie,32201
1,Lady Gaga,Bad Romance,294573
1,Taio Cruz,Dynamite,1301
1,Karina Grace,tired of me,5482
1,Adele,Set Fire to the Rain,1706
1,Ryn Weaver,Pierre,202746
1,The Pussycat Dolls,When I Grow Up,245680
1,Forest Blakk,If You Love Her,217351
1,Rachel Platten,Lone Ranger,190026
1,The Killers,Mr. Brightside,222586
1,Pitbull,Hotel Room Service,237640
1,Michael Ray,Get to You,191546
1,5 Seconds of Summer,Good Girls,3669
1,5 Seconds of Summer,Good Girls,88106
1,Taylor Swift,Getaway Car,233626
1,Ingrid Andress,Feeling Things,190200
1,BANNERS,Someone To You,219801
1,Taylor Swift,I Did Something Bad,238253
1,Ingrid Andress,Lady Like,25865
1,Billie Eilish,bury a friend,193143
1,Harry Styles,Falling,240133
1,Ariana Grande,7 rings,178626
1,Olivia Rodrigo,"1 step forward, 3 steps back",163586
1,Elle King,America's Sweetheart,245546
1,bülow,You & Jennifer,159453
1,Victorious Cast,You Don't Know Me,917
1,Taylor Swift,my tears ricochet,255893
1,Taylor Swift,Last Kiss,367133
1,mxmtoon,prom dress,197933
1,Paloma Faith,Only Love Can Hurt Like This,116929
1,Adele,Love In The Dark,285935
1,Bea Miller,i can't breathe,213986
1,The Killers,Mr. Brightside,222586
1,The Airborne Toxic Event,Sometime Around Midnight,303586
1,Michael Ray,Get to You,191546
1,Molly Kate Kestner,His Daughter,1429
1,Lana Del Rey,Radio,704
1,Little Mix,Love Me Like You,171156
1,Post Malone,rockstar (feat. 21 Savage),218146
1,Imagine Dragons,Natural,67534
1,5 Seconds of Summer,Youngblood,203417
1,Imagine Dragons,Enemy (with JID) - from the series Arcane League of Legends,173381
1,Usher,I Don't Mind (feat. Juicy J),1898
1,Ed Sheeran,Cross Me (feat. Chance the Rapper & PnB Rock),206186
1,Amber Run,I Found,150121
1,Forest Blakk,If You Love Her,217351
1,Bea Miller,i can't breathe,213986
1,The Killers,Mr. Brightside,222586
1,Ryn Weaver,Pierre,202746
1,Little Mix,"Secret Love Song, Pt. II",266925
1,Lorde,Liability,171727
1,James Bay,Let It Go,7982
1,Beyoncé,Heaven,112917
1,Katy Perry,California Gurls,234653
1,Taylor Swift,Mine,6869
1,Alessia Cara,Out Of Love,227693
1,Michael Ray,Get to You,191546
1,Catie Turner,God Must Hate Me,149802
1,Rachel Platten,Lone Ranger,190026
1,The Airborne Toxic Event,Sometime Around Midnight,303586
1,The Pussycat Dolls,When I Grow Up,245680
1,Paloma Faith,Only Love Can Hurt Like This,232893
1,Pitbull,Hotel Room Service,237640
1,Karina Grace,tired of me,197600
1,Loren Allred,Never Enough (Reprise),80293
1,Lucy Dacus,Please Stay,259173
1,bülow,You & Jennifer,159453
1,Tyga,Rack City,203200
1,Britney Spears,If U Seek Amy,874
1,Timbaland,If We Ever Meet Again (Featuring Katy Perry),292706
1,Post Malone,rockstar (feat. 21 Savage),218146
1,Bazzi,3:15,167018
1,The Pussycat Dolls,When I Grow Up,245680
1,5 Seconds of Summer,Youngblood,203417
1,Ariana Grande,Into You,244453
1,Ariana Grande,imagine,212266
1,Trey Songz,Bottoms Up (feat. Nicki Minaj),242013
1,5 Seconds of Summer,Good Girls,206423
1,Cardi B,WAP (feat. Megan Thee Stallion),187541
1,Akon,Smack That,212360
1,Ariana Grande,7 rings,178626
1,Ed Sheeran,Cross Me (feat. Chance the Rapper & PnB Rock),206186
1,Pitbull,International Love (feat. Chris Brown),227280
1,Travis Mills,She Got A...,207920
1,Forest Blakk,If You Love Her,217351
1,Pitbull,Hotel Room Service,1839
1,Lana Del Rey,Sweet Carolina,201779
1,Michael Ray,Get to You,550
1,The Killers,Mr. Brightside,222586
1,Taylor Swift,Mine,5077
1,James Arthur,Train Wreck,1706
1,Amanda Jordan,Love You to Pieces,8320
1,5 Seconds of Summer,Youngblood,203417
1,Timbaland,If We Ever Meet Again (Featuring Katy Perry),292706
1,Imagine Dragons,Enemy (with JID) - from the series Arcane League of Legends,173381
1,Khalid,8TEEN,228600
1,Tyga,Rack City,203200
1,Jessie Reyez,FIGURES,240906
1,Bea Miller,i can't breathe,7146
1,Billie Eilish,when the party's over,196077
1,Michael Ray,Get to You,1621
1,Little Mix,Love Me Like You,2666
1,B.o.B,Airplanes (feat. Hayley Williams of Paramore),180480
1,Avery Lynch,When It Ends,182412
1,Gracie Abrams,21,185172
1,Ariana Grande,imagine,136042
1,Pitbull,Hotel Room Service,168332
1,Tyga,Rack City,203200
1,Imagine Dragons,Natural,189466
1,Bazzi,3:15,167018
1,Jessi,Gucci,175498
1,David Guetta,Sexy Chick (feat. Akon),194346
1,Adele,Set Fire to the Rain,4066
1,5 Seconds of Summer,Youngblood,203417
1,The Killers,Mr. Brightside,222586
1,Keala Settle,Bird Set Free,222762
1,Pitbull,"Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)",252306
1,The Pussycat Dolls,When I Grow Up,245680
1,Khalid,8TEEN,228600
1,Calum Scott,Dancing On My Own,2154
1,Jessie Reyez,FIGURES,917
1,Eminem,Love The Way You Lie,1834
1,Lana Del Rey,Cherry Blossom,197933
1,Lana Del Rey,Sweet Carolina,201779
1,Paloma Faith,Only Love Can Hurt Like This,232893
1,Little Mix,Love Me Like You,4565
1,Delaney Bailey,For You,140485
1,Lucy Dacus,Please Stay,1557
1,Lav,Sardine Song,209387
1,Catie Turner,God Must Hate Me,4384
1,Lana Del Rey,Thunder,259466
1,The Airborne Toxic Event,Sometime Around Midnight,303586
1,Avery Lynch,When It Ends,16576
1,The Weeknd,Save Your Tears (with Ariana Grande) (Remix),191013
1,Matt Schuster,From The Start,237245
1,Catie Turner,God Must Hate Me,149802
1,Ryn Weaver,Pierre,202746
1,James Arthur,Train Wreck,165150
1,Little Mix,"Secret Love Song, Pt. II",266925
1,Adele,When We Were Young,290900
1,James Bay,Let It Go,2986
1,The Script,Breakeven,261426
1,Amber Run,I Found - Acoustic,2431
1,One Direction,Olivia,177973
1,Lennon Stella,Older Than I Am,2026
1,Taylor Swift,Mine,2005
1,Alessia Cara,Out Of Love,227693
1,Ariana Grande,breathin,198160
1,Little Mix,Love Me Like You,197786
1,Olivia Rodrigo,brutal,143746
1,Victorious Cast,You Don't Know Me,173760
1,One Direction,What Makes You Beautiful,199986
1,Taylor Swift,Cruel Summer,178426
1,girl in red,summer depression,21461
1,Taylor Swift,Love Story (Taylor’s Version),2517
1,Lav,Sardine Song,209387
1,B.o.B,Airplanes (feat. Hayley Williams of Paramore),180480
1,Bruno Mars,Just the Way You Are,1408
1,Eminem,Love The Way You Lie,263373
1,Bea Miller,i can't breathe,1600
1,Mia Giovina,Time Machine,2943
1,Leona Lewis,Better in Time,1898
1,Billie Eilish,Oxytocin,189969
1,Bruno Mars,It Will Rain,257720
1,Billie Eilish,when the party's over,196077
1,Jesse & Joy,Echoes Of Love,216572
1,Adele,Hello,295502
1,Freya Ridings,Lost Without You,19112
1,Ryn Weaver,Pierre,202746
1,Lana Del Rey,Black Bathing Suit,318040
1,Lana Del Rey,Sweet Carolina,201779
1,Lana Del Rey,Cinnamon Girl,10948
1,Lana Del Rey,Sweet Carolina,201779
1,Pitbull,Hotel Room Service,237640
1,The Killers,Mr. Brightside,222586
1,Michael Ray,Get to You,191546
1,Bea Miller,i can't breathe,213986
1,Paloma Faith,Only Love Can Hurt Like This,10666
1,Forest Blakk,If You Love Her,217351
1,Lana Del Rey,Thunder,259466
1,Karina Grace,tired of me,197600
1,Rachel Platten,Lone Ranger,190026
1,Anson Seabra,Walked Through Hell,216864
1,Dustin Lynch,Thinking 'Bout You (feat. Lauren Alaina),170560
1,Matt Cooper,All Of My Heart,167709
1,The Pussycat Dolls,When I Grow Up,245680
1,The Airborne Toxic Event,Sometime Around Midnight,303586
1,Taylor Swift,epiphany,289746
1,Billie Eilish,when the party's over,196077
1,Ryn Weaver,Pierre,202746
1,Lana Del Rey,Thunder,259466
1,Lana Del Rey,Dealer,274293
1,Lana Del Rey,If You Lie Down With Me,265186
1,Lana Del Rey,Cherry Blossom,197933
1,Lana Del Rey,Summertime Sadness,1834
1,Lana Del Rey,Happiness is a butterfly,272485
1,Catie Turner,God Must Hate Me,149802
1,Lana Del Rey,Young And Beautiful,10755
1,The Airborne Toxic Event,Sometime Around Midnight,303586
1,Karina Grace,tired of me,197600
1,Rachel Platten,Lone Ranger,102399
1,Rachel Platten,Lone Ranger,49322
1,Rachel Platten,Lone Ranger,38555
1,The Pussycat Dolls,When I Grow Up,245680
1,Lana Del Rey,Chemtrails Over The Country Club,271176
1,Little Big Town,Sugar Coat,219840
1,Britney Spears,If U Seek Amy,2432
1,Lewis Capaldi,Bruises,1877
1,Taylor Swift,Blank Space,231826
1,Taylor Swift,Getaway Car,233626
1,Ingrid Andress,Life of the Party,176053
1,BANNERS,Someone To You,219801
1,Taylor Swift,Last Kiss,367133
1,Taylor Swift,my tears ricochet,255893
1,Taylor Swift,champagne problems,244000
1,Lana Del Rey,Young And Beautiful,236053
1,Little Big Town,Sugar Coat,219840
1,松司馬拓指揮 Ensemble FOVE,アリア《離れずにそばにいて》,221266
1,Britney Spears,Break the Ice,196053
1,Ingrid Andress,Lady Like,1984
